,artistName,year_month,msPlayed
0,Chappell Roan,2024-04,3564239
1,Chappell Roan,2024-05,9784302
2,Chappell Roan,2024-06,42677377
3,Chappell Roan,2024-07,39950632
4,Chappell Roan,2024-08,21004108
5,Chappell Roan,2024-09,5946476
6,Chappell Roan,2024-10,12023070
7,Chappell Roan,2024-11,5881116
8,Chappell Roan,2024-12,1524947
9,Gracie Abrams,2024-03,1827744
10,Gracie Abrams,2024-04,774122
11,Gracie Abrams,2024-05,878645
12,Gracie Abrams,2024-06,34725552
13,Gracie Abrams,2024-07,129572542
14,Gracie Abrams,2024-08,26781292
15,Gracie Abrams,2024-09,25904568
16,Gracie Abrams,2024-10,98237720
17,Gracie Abrams,2024-11,56279961
18,Gracie Abrams,2024-12,44861746
19,Noah Kahan,2024-01,4606629
20,Noah Kahan,2024-02,61255480
21,Noah Kahan,2024-03,24572792
22,Noah Kahan,2024-04,28894433
23,Noah Kahan,2024-05,27330137
24,Noah Kahan,2024-06,87523719
25,Noah Kahan,2024-07,151606185
26,Noah Kahan,2024-08,110813931
27,Noah Kahan,2024-09,87200304
28,Noah Kahan,2024-10,58340975
29,Noah Kahan,2024-11,44051392
30,Noah Kahan,2024-12,50975135
31,One Direction,2024-01,4210616
32,One Direction,2024-02,27229332
33,One Direction,2024-03,29791047
34,One Direction,2024-04,13491825
35,One Direction,2024-05,10572126
36,One Direction,2024-06,3060227
37,One Direction,2024-07,217258
38,One Direction,2024-08,11095785
39,One Direction,2024-09,868425
40,One Direction,2024-10,39391624
41,One Direction,2024-11,10168503
42,One Direction,2024-12,4591629
43,Taylor Swift,2024-01,9744640
44,Taylor Swift,2024-02,30147139
45,Taylor Swift,2024-03,71953068
46,Taylor Swift,2024-04,51504807
47,Taylor Swift,2024-05,55679313
48,Taylor Swift,2024-06,21384024
49,Taylor Swift,2024-07,14150465
50,Taylor Swift,2024-08,52610333
51,Taylor Swift,2024-09,15055350
52,Taylor Swift,2024-10,10996839
53,Taylor Swift,2024-11,108399290
54,Taylor Swift,2024-12,56120973
